Product ID,Total Inventory,Cumulative Inventory,Cumulative %,ABC Category
P0017,1017263,1017263,5.07015438989764,A
P0014,1015696,2032959,10.13249867372736,A
P0016,1014281,3047240,15.187790436761867,A
P0020,1011698,4058938,20.230208234274073,B
P0015,1010272,5069210,25.265518685741068,B
P0009,1006312,6075522,30.281092047208723,B
P0013,1005532,7081054,35.292777800040156,B
P0003,1004879,8085933,40.301208926667144,B
P0010,1004842,9090775,45.30945564108959,B
P0007,1004077,10094852,50.31388950858036,C
P0019,1003390,11098242,55.31489929000304,C
P0006,999903,12098145,60.29852946717632,C
P0005,997968,13096113,65.27251538446356,C
P0001,997793,14093906,70.24562908186446,C
P0011,997112,15091018,75.21534859787911,C
P0008,996992,16088010,80.18447002025744,C
P0018,996129,17084139,85.1492901525677,C
P0012,996031,18080170,90.11362184174163,C
P0004,992539,19072709,95.06054900609796,C
P0002,991039,20063748,100.0,C
